Line#,Date,"Gust Speed (S-WCA 9858867:9845198-2), m/s, Meyerson Roof","Battery (U30 BATTERY 9858867:9858867-B), V, Meyerson Roof","Dew Point (S-THB 9858867:9835118-3), *C, Meyerson Roof","RH (S-THB 9858867:9835118-2), %, Meyerson Roof","Temperature (S-THB 9858867:9835118-1), *C, Meyerson Roof","Solar Radiation (S-LIB 9858867:9841958-1), W/m^2, Meyerson Roof","Wind Direction (S-WCA 9858867:9845198-3), *, Meyerson Roof","Wind Speed (S-WCA 9858867:9845198-1), m/s, Meyerson Roof"
1,10/31/2016 17:35,3.5,4.51,2.44,51.5,12.12,526,0,0.6
2,10/31/2016 17:40,1.5,4.51,2.7,50.5,12.7,519,0,0
3,10/31/2016 17:45,2.6,4.53,2.96,48.7,13.55,516,0,0.2
4,10/31/2016 17:50,2.2,4.53,2.97,48.5,13.62,509,0,0.2
5,10/31/2016 17:55,2.4,4.53,2.64,47.9,13.45,453,0,0.4
6,10/31/2016 18:00,3.7,4.53,1.38,46.1,12.65,486,0,0.9
7,10/31/2016 18:05,0.9,4.53,1.69,44.6,13.5,491,0,0
8,10/31/2016 18:10,2.8,4.53,2.06,47.2,13.04,437,0,0.2
9,10/31/2016 18:15,2,4.53,2.94,48,13.74,442,0,0
10,10/31/2016 18:20,3.9,4.53,2.51,48.8,13.02,431,0,0.9
11,10/31/2016 18:25,2.8,4.53,2.61,48.7,13.16,416,0,0.6
12,10/31/2016 18:30,5,4.47,2.43,47.1,13.47,438,0,0.4
13,10/31/2016 18:35,3.7,4.51,2.58,47.3,13.57,424,0,0.6
14,10/31/2016 18:40,3.5,4.53,2.47,45.8,13.95,418,0,0.2
15,10/31/2016 18:45,4.1,4.53,2.54,46.9,13.67,414,0,0.2
16,10/31/2016 18:50,3.5,4.53,2.19,46.6,13.38,388,0,0.4
17,10/31/2016 18:55,2,4.53,2.56,47.7,13.43,368,0,0.2
18,10/31/2016 19:00,5.6,4.53,2.41,46.9,13.52,398,0,0.4
19,10/31/2016 19:05,2.6,4.53,2.15,45.6,13.67,391,0,0.2
20,10/31/2016 19:10,3.3,4.53,2,42.2,14.7,376,0,0.2
21,10/31/2016 19:15,0,4.53,2.4,42.9,14.89,371,0,0
22,10/31/2016 19:20,2,4.53,1.79,45.3,13.38,304,0,0.2
23,10/31/2016 19:25,2.6,4.53,2.16,46.2,13.47,317,0,0.4
24,10/31/2016 19:30,3.2,4.46,2.03,45.3,13.64,301,0,0.4
25,10/31/2016 19:35,0.9,4.53,2.09,45.2,13.74,252,0,0
26,10/31/2016 19:40,0.7,4.53,2.54,46.6,13.76,261,0,0
27,10/31/2016 19:45,3.5,4.53,3.05,46.1,14.48,268,0,0.2
28,10/31/2016 19:50,2.6,4.54,3.09,44.9,14.94,251,0,0.2
29,10/31/2016 19:55,3.9,4.54,2.67,43.4,15.01,261,0,0.4
30,10/31/2016 20:00,1.3,4.54,3.24,44.7,15.17,268,0,0
31,10/31/2016 20:05,0.6,4.54,2.51,42.7,15.08,263,0,0
32,10/31/2016 20:10,0.9,4.54,2.02,40.8,15.25,259,0,0
33,10/31/2016 20:15,3.9,4.53,2.02,43.2,14.36,246,0,0.6
34,10/31/2016 20:20,1.5,4.54,1.96,42.6,14.51,217,0,0
35,10/31/2016 20:25,2.6,4.54,2.03,45.2,13.67,158,0,0.2
36,10/31/2016 20:30,1.3,4.48,1.68,41.7,14.53,181,0,0
37,10/31/2016 20:35,2.2,4.53,1.76,43,14.15,194,0,0
38,10/31/2016 20:40,2,4.54,1.87,42.2,14.55,184,0,0
39,10/31/2016 20:45,0,4.54,2,42.2,14.7,156,0,0
40,10/31/2016 20:50,0,4.54,1.9,45.3,13.5,101,0,0
41,10/31/2016 20:55,0,4.54,2.21,47.4,13.14,82,0,0
42,10/31/2016 21:00,0.2,4.54,2.08,49.1,12.46,53,0,0
43,10/31/2016 21:05,0,4.54,2.25,50,12.36,43,0,0
44,10/31/2016 21:10,0.7,4.54,2.14,50.1,12.22,34,0,0
45,10/31/2016 21:15,0.6,4.54,2.21,50.5,12.17,24,0,0
46,10/31/2016 21:20,0,4.54,2.41,51.8,12,17,0,0
47,10/31/2016 21:25,0,4.54,2.34,52.3,11.78,12,0,0
48,10/31/2016 21:30,0,4.44,2.61,53.9,11.61,4,0,0
49,10/31/2016 21:35,0,4.45,2.38,52.8,11.69,1,0,0
50,10/31/2016 21:40,0,4.45,2.38,52.6,11.73,1,0,0
51,10/31/2016 21:45,0.2,4.44,2.49,53.8,11.52,1,0,0
52,10/31/2016 21:50,0.6,4.44,2.36,53.4,11.49,1,0,0
53,10/31/2016 21:55,0,4.44,2.32,54.1,11.25,1,0,0
54,10/31/2016 22:00,1.1,4.45,2.39,54.2,11.3,1,0,0
55,10/31/2016 22:05,0,4.43,2.25,53.4,11.37,1,0,0
56,10/31/2016 22:10,0,4.43,2.37,54.4,11.22,1,0,0
57,10/31/2016 22:15,0.2,4.43,2.45,54.8,11.2,1,0,0
58,10/31/2016 22:20,0,4.42,2.31,53.8,11.32,1,0,0
59,10/31/2016 22:25,0,4.42,2.25,53.3,11.39,1,0,0
60,10/31/2016 22:30,0,4.38,2.23,55.8,10.69,1,0,0
61,10/31/2016 22:35,0,4.39,2.26,56,10.66,1,0,0
62,10/31/2016 22:40,0,4.39,2.37,55.8,10.83,1,0,0
63,10/31/2016 22:45,0.4,4.39,2.18,53.3,11.32,1,0,0
64,10/31/2016 22:50,0,4.39,2.52,56.4,10.83,1,0,0
65,10/31/2016 22:55,0.4,4.39,2.42,55.2,11.05,1,0,0
66,10/31/2016 23:00,0,4.39,2.41,54.7,11.18,1,0,0
67,10/31/2016 23:05,0,4.38,2.6,55.9,11.05,1,0,0
68,10/31/2016 23:10,0,4.38,2.53,56,10.96,1,0,0
69,10/31/2016 23:15,0,4.38,2.57,55.9,11.03,1,0,0
70,10/31/2016 23:20,0,4.37,2.66,56.9,10.86,1,0,0
71,10/31/2016 23:25,0,4.37,2.5,55.5,11.05,1,0,0
72,10/31/2016 23:30,0.2,4.33,2.67,57,10.83,1,0,0
73,10/31/2016 23:35,0.2,4.35,2.68,56.6,10.96,1,0,0
74,10/31/2016 23:40,0.2,4.35,2.76,57.1,10.91,1,0,0
75,10/31/2016 23:45,0,4.34,2.72,57.4,10.79,1,0,0
76,10/31/2016 23:50,0.2,4.34,2.77,57.5,10.81,1,0,0
77,10/31/2016 23:55,0,4.34,2.91,59.9,10.34,1,0,0
78,11/1/2016 0:00,0,4.34,2.83,59.2,10.44,1,0,0
79,11/1/2016 0:05,0.2,4.34,2.83,59.4,10.39,1,0,0
80,11/1/2016 0:10,0,4.34,2.98,60.3,10.32,1,0,0
81,11/1/2016 0:15,0,4.34,3.02,62.4,9.85,1,0,0
82,11/1/2016 0:20,0,4.34,3.16,62.7,9.93,1,0,0
83,11/1/2016 0:25,0,4.33,3.3,64.5,9.66,1,0,0
84,11/1/2016 0:30,0,4.29,3.33,65.5,9.46,1,0,0
85,11/1/2016 0:35,0,4.32,3.36,64.9,9.63,1,0,0
86,11/1/2016 0:40,0,4.32,3.32,64.8,9.61,1,0,0
87,11/1/2016 0:45,0,4.32,3.39,65.9,9.44,1,0,0
88,11/1/2016 0:50,0,4.31,3.5,66.4,9.44,1,0,0
89,11/1/2016 0:55,1.9,4.31,3.43,65.2,9.63,1,0,0
90,11/1/2016 1:00,1.9,4.3,3.34,65.1,9.56,1,0,0.2
91,11/1/2016 1:05,3.2,4.3,3.45,66.7,9.31,1,0,0.4
92,11/1/2016 1:10,3.9,4.3,3.33,67.5,9.01,1,0,0.6
93,11/1/2016 1:15,1.7,4.3,3.41,68.7,8.84,1,0,0.2
94,11/1/2016 1:20,2,4.3,3.34,68.8,8.74,1,0,0
95,11/1/2016 1:25,0,4.3,3.43,69.6,8.67,1,0,0
96,11/1/2016 1:30,3.3,4.27,3.3,69.2,8.62,1,0,0.2
97,11/1/2016 1:35,3.3,4.28,3.19,69,8.54,1,0,0.4
98,11/1/2016 1:40,2.8,4.29,3.08,69.5,8.32,1,0,0.4
99,11/1/2016 1:45,1.5,4.29,3.06,70,8.19,1,0,0
100,11/1/2016 1:50,0.9,4.29,3.02,70.4,8.07,1,0,0
101,11/1/2016 1:55,1.5,4.29,3.08,70.6,8.09,1,0,0.2
102,11/1/2016 2:00,1.1,4.29,3.03,70.1,8.14,1,0,0
103,11/1/2016 2:05,1.3,4.29,3.02,71.1,7.92,1,0,0
104,11/1/2016 2:10,2,4.29,2.85,70.5,7.87,1,0,0
105,11/1/2016 2:15,0.2,4.29,2.91,70.7,7.9,1,0,0
106,11/1/2016 2:20,1.5,4.29,2.89,71.2,7.77,1,0,0
107,11/1/2016 2:25,1.5,4.29,2.87,71.1,7.77,1,0,0
108,11/1/2016 2:30,0,4.25,2.86,71.9,7.59,1,0,0
109,11/1/2016 2:35,0,4.27,2.9,72.5,7.52,1,0,0
110,11/1/2016 2:40,0,4.27,2.76,71.4,7.59,1,0,0
111,11/1/2016 2:45,0,4.27,2.77,71.3,7.62,1,0,0
112,11/1/2016 2:50,0.6,4.27,2.76,72,7.47,1,0,0
113,11/1/2016 2:55,0.2,4.27,2.71,71.9,7.44,1,0,0
114,11/1/2016 3:00,0.2,4.27,2.65,72.7,7.22,1,0,0
115,11/1/2016 3:05,0,4.27,2.75,72.6,7.34,1,0,0
116,11/1/2016 3:10,0,4.28,2.76,73,7.27,1,0,0
117,11/1/2016 3:15,0.2,4.28,2.71,72.9,7.24,1,0,0
118,11/1/2016 3:20,0.2,4.28,2.65,72.8,7.19,1,0,0
119,11/1/2016 3:25,0.4,4.28,2.77,73.7,7.14,1,0,0
120,11/1/2016 3:30,0.2,4.25,2.73,73.6,7.12,1,0,0
121,11/1/2016 3:35,0,4.27,2.73,74.1,7.02,1,0,0
122,11/1/2016 3:40,0.2,4.27,2.74,74.2,7.02,1,0,0
123,11/1/2016 3:45,0,4.27,2.76,74,7.07,1,0,0
124,11/1/2016 3:50,0,4.27,2.78,75.3,6.84,1,0,0
125,11/1/2016 3:55,0.7,4.27,2.58,73.7,6.94,1,0,0
126,11/1/2016 4:00,1.7,4.27,2.39,73.1,6.86,1,0,0
127,11/1/2016 4:05,0,4.27,2.47,74.8,6.61,1,0,0
128,11/1/2016 4:10,0,4.27,2.43,74.1,6.71,1,0,0
129,11/1/2016 4:15,0,4.27,2.4,74.2,6.66,1,0,0
130,11/1/2016 4:20,0,4.27,2.44,74.9,6.56,1,0,0
131,11/1/2016 4:25,0,4.27,2.36,74.9,6.48,1,0,0
132,11/1/2016 4:30,0,4.24,2.31,74.9,6.43,1,0,0
133,11/1/2016 4:35,0,4.25,2.34,74.9,6.46,1,0,0
134,11/1/2016 4:40,0,4.27,2.3,74.7,6.46,1,0,0
135,11/1/2016 4:45,0,4.27,2.39,75.3,6.43,1,0,0
136,11/1/2016 4:50,0,4.27,2.32,75.2,6.38,1,0,0
137,11/1/2016 4:55,0,4.27,2.39,74.9,6.51,1,0,0
138,11/1/2016 5:00,0,4.27,2.36,75,6.46,1,0,0
139,11/1/2016 5:05,0,4.27,2.44,74.9,6.56,1,0,0
140,11/1/2016 5:10,1.3,4.27,2.42,75.2,6.48,1,0,0
141,11/1/2016 5:15,0.6,4.27,2.37,74.3,6.61,1,0,0
142,11/1/2016 5:20,0.4,4.27,2.32,74,6.61,1,0,0
143,11/1/2016 5:25,0.2,4.27,2.14,73.7,6.48,1,0,0
144,11/1/2016 5:30,2,4.22,1.98,72.1,6.64,1,0,0
145,11/1/2016 5:35,2.4,4.25,1.79,71.3,6.61,1,0,0.4
146,11/1/2016 5:40,0.9,4.25,1.72,70.2,6.76,1,0,0
147,11/1/2016 5:45,0.4,4.26,1.81,70.9,6.71,1,0,0
148,11/1/2016 5:50,0.4,4.27,1.78,72,6.46,1,0,0
149,11/1/2016 5:55,0.2,4.27,1.77,71.4,6.56,1,0,0
150,11/1/2016 6:00,0,4.27,1.86,72.5,6.43,1,0,0
151,11/1/2016 6:05,0.9,4.27,1.91,72.5,6.48,1,0,0
152,11/1/2016 6:10,1.5,4.27,1.85,72.2,6.48,1,0,0
153,11/1/2016 6:15,0,4.27,1.8,72.7,6.33,1,0,0
154,11/1/2016 6:20,0,4.27,1.89,72.8,6.41,1,0,0
155,11/1/2016 6:25,0.2,4.27,1.91,72.5,6.48,1,0,0
156,11/1/2016 6:30,0,4.22,1.85,72.7,6.38,1,0,0
157,11/1/2016 6:35,0,4.25,1.8,73.1,6.26,1,0,0
158,11/1/2016 6:40,0,4.25,1.91,73.3,6.33,1,0,0
159,11/1/2016 6:45,0,4.25,1.85,73.9,6.15,1,0,0
160,11/1/2016 6:50,0,4.25,1.88,73.5,6.26,1,0,0
161,11/1/2016 6:55,0,4.25,1.95,73,6.43,1,0,0
162,11/1/2016 7:00,0,4.26,2.03,73.9,6.33,1,0,0
163,11/1/2016 7:05,0,4.26,1.98,74.3,6.2,1,0,0
164,11/1/2016 7:10,0,4.26,1.98,74.7,6.13,1,0,0
165,11/1/2016 7:15,0,4.27,2.04,74.9,6.15,1,0,0
166,11/1/2016 7:20,0,4.27,2.07,74,6.36,1,0,0
167,11/1/2016 7:25,0,4.27,2.02,74.9,6.13,1,0,0
168,11/1/2016 7:30,0,4.22,1.97,75.3,6,1,0,0
169,11/1/2016 7:35,0,4.25,2.07,76.5,5.87,1,0,0
170,11/1/2016 7:40,0,4.25,2.13,75.9,6.05,1,0,0
171,11/1/2016 7:45,0,4.25,2.09,75.8,6.03,1,0,0
172,11/1/2016 7:50,0,4.25,2.05,76.7,5.82,1,0,0
173,11/1/2016 7:55,0,4.25,2.1,76.4,5.92,1,0,0
174,11/1/2016 8:00,0,4.25,2.04,76.5,5.85,1,0,0
175,11/1/2016 8:05,0,4.25,2.09,76.5,5.9,1,0,0
176,11/1/2016 8:10,0,4.25,2.16,77.3,5.82,1,0,0
177,11/1/2016 8:15,0,4.25,2.27,77.6,5.87,1,0,0
178,11/1/2016 8:20,0,4.25,2.2,78.5,5.64,1,0,0
179,11/1/2016 8:25,0,4.25,2.22,79.3,5.51,1,0,0
180,11/1/2016 8:30,0,4.22,2.26,79.1,5.59,1,0,0
181,11/1/2016 8:35,0,4.25,2.26,79.4,5.54,1,0,0
182,11/1/2016 8:40,0,4.25,2.24,80.4,5.33,1,0,0
183,11/1/2016 8:45,0,4.25,2.31,80.5,5.39,1,0,0
184,11/1/2016 8:50,0,4.27,2.28,79.9,5.46,1,0,0
185,11/1/2016 8:55,0,4.27,2.3,79.9,5.49,1,0,0
186,11/1/2016 9:00,0,4.25,2.24,81,5.23,1,0,0
187,11/1/2016 9:05,0,4.28,2.21,80.5,5.28,1,0,0
188,11/1/2016 9:10,0,4.25,2.14,80.1,5.28,1,0,0
189,11/1/2016 9:15,0,4.27,2.07,79.7,5.28,1,0,0
190,11/1/2016 9:20,0.6,4.27,2.06,79.8,5.26,1,0,0
191,11/1/2016 9:25,0,4.28,2.03,80.2,5.15,1,0,0
192,11/1/2016 9:30,0,4.21,2.05,79.9,5.23,1,0,0
193,11/1/2016 9:35,0,4.24,2.04,80.3,5.15,1,0,0
194,11/1/2016 9:40,0,4.25,2.14,80.1,5.28,1,0,0
195,11/1/2016 9:45,0,4.25,2.22,81.3,5.15,1,0,0
196,11/1/2016 9:50,0.6,4.25,2.26,81.7,5.13,1,0,0
197,11/1/2016 9:55,0.2,4.25,2.26,82,5.08,1,0,0
198,11/1/2016 10:00,1.1,4.25,2.24,82,5.05,1,0,0
199,11/1/2016 10:05,1.1,4.25,2.18,81.5,5.08,1,0,0
200,11/1/2016 10:10,1.3,4.25,2.24,81.4,5.15,1,0,0
201,11/1/2016 10:15,0.7,4.25,2.18,81.1,5.15,1,0,0
202,11/1/2016 10:20,0.9,4.25,2.05,80.5,5.13,1,0,0
203,11/1/2016 10:25,0.7,4.25,1.98,80.1,5.13,1,0,0
204,11/1/2016 10:30,1.3,4.21,1.93,79.8,5.13,1,0,0
205,11/1/2016 10:35,1.7,4.22,1.94,79.7,5.15,1,0,0.2
206,11/1/2016 10:40,1.5,4.24,1.89,79.4,5.15,1,0,0.2
207,11/1/2016 10:45,2.4,4.24,1.81,79.1,5.13,1,0,0.2
208,11/1/2016 10:50,1.5,4.24,1.7,79.6,4.92,1,0,0
209,11/1/2016 10:55,0.2,4.24,1.65,79.6,4.87,2,0,0
210,11/1/2016 11:00,0.6,4.24,1.75,79.2,5.05,4,0,0
211,11/1/2016 11:05,0.4,4.24,1.82,79,5.15,6,0,0
212,11/1/2016 11:10,1.3,4.25,1.82,79,5.15,7,0,0
213,11/1/2016 11:15,0.4,4.27,1.77,76.8,5.51,13,0,0
214,11/1/2016 11:20,0.6,4.34,1.73,74.8,5.85,21,0,0
215,11/1/2016 11:25,0,4.45,1.7,72.3,6.31,31,0,0
216,11/1/2016 11:30,0,4.43,1.82,74.9,5.92,26,0,0
217,11/1/2016 11:35,0,4.48,1.79,72.8,6.31,54,0,0
218,11/1/2016 11:40,0,4.49,1.87,72.8,6.38,61,0,0
219,11/1/2016 11:45,0,4.5,1.73,69.4,6.94,91,0,0
220,11/1/2016 11:50,0,4.5,1.95,68.1,7.44,104,0,0
221,11/1/2016 11:55,0,4.5,1.8,64,8.19,139,0,0
222,11/1/2016 12:00,1.7,4.5,1.6,63.2,8.17,158,0,0
223,11/1/2016 12:05,0.6,4.51,1.58,64.5,7.84,83,0,0
224,11/1/2016 12:10,0.9,4.51,2.34,70.6,7.32,92,0,0
225,11/1/2016 12:15,0.6,4.51,2.76,72.4,7.39,99,0,0
226,11/1/2016 12:20,0,4.51,2.6,71.8,7.34,77,0,0
227,11/1/2016 12:25,0,4.51,2.55,73.3,6.99,87,0,0
228,11/1/2016 12:30,0,4.48,2.7,71.2,7.57,91,0,0
229,11/1/2016 12:35,0,4.5,2.57,71.9,7.29,117,0,0
230,11/1/2016 12:40,0,4.51,2.67,72.4,7.29,74,0,0
231,11/1/2016 12:45,0,4.51,2.71,72,7.42,107,0,0
232,11/1/2016 12:50,0,4.51,2.85,69.2,8.14,119,0,0
233,11/1/2016 12:55,0,4.51,3,69.1,8.32,134,0,0
234,11/1/2016 13:00,0,4.51,3.3,67,9.09,143,0,0
235,11/1/2016 13:05,0,4.51,3.11,66.1,9.09,158,0,0
236,11/1/2016 13:10,0,4.51,3.49,64.1,9.95,206,0,0
237,11/1/2016 13:15,0,4.51,3.51,61.2,10.66,247,0,0
238,11/1/2016 13:20,0,4.51,3.37,61.3,10.49,191,0,0
239,11/1/2016 13:25,0,4.51,3.49,61.7,10.52,287,0,0
240,11/1/2016 13:30,0,4.47,3.79,61.3,10.93,359,0,0
241,11/1/2016 13:35,0,4.51,3.75,56.6,12.1,229,0,0
242,11/1/2016 13:40,0,4.51,3.3,57.8,11.3,282,0,0
243,11/1/2016 13:45,0,4.51,4.05,56.8,12.36,212,0,0
244,11/1/2016 13:50,0,4.51,3.73,59.8,11.25,258,0,0
245,11/1/2016 13:55,0,4.51,4.57,56.8,12.92,318,0,0
246,11/1/2016 14:00,0,4.51,4.76,57.1,13.04,369,0,0
247,11/1/2016 14:05,0,4.51,5.07,55.4,13.83,466,0,0
248,11/1/2016 14:10,0,4.51,4.3,59.6,11.9,224,0,0
249,11/1/2016 14:15,0,4.51,4.11,61,11.35,192,0,0
250,11/1/2016 14:20,0,4.51,4.04,60.9,11.3,207,0,0
251,11/1/2016 14:25,0,4.51,4.09,61.3,11.25,352,0,0
252,11/1/2016 14:30,0,4.48,5.1,55.2,13.93,501,0,0
253,11/1/2016 14:35,0,4.51,5.05,53.3,14.41,449,0,0
254,11/1/2016 14:40,0,4.51,5.56,52,15.34,543,0,0
255,11/1/2016 14:45,0,4.51,5.28,51.5,15.2,477,0,0
256,11/1/2016 14:50,0,4.51,5,54.3,14.07,482,0,0
257,11/1/2016 14:55,0,4.51,5.13,53.7,14.39,422,0,0
258,11/1/2016 15:00,0,4.51,5.28,51.8,15.1,429,0,0
259,11/1/2016 15:05,0,4.51,5.89,53.8,15.17,554,0,0
260,11/1/2016 15:10,0,4.51,6.45,50.5,16.77,523,0,0
261,11/1/2016 15:15,0,4.51,6.65,52.2,16.46,522,0,0
262,11/1/2016 15:20,1.7,4.49,6.07,54.4,15.2,492,0,0
263,11/1/2016 15:25,1.5,4.54,6.71,48.7,17.63,534,0,0
264,11/1/2016 15:30,0.9,4.49,6.4,52.9,15.99,489,0,0
265,11/1/2016 15:35,0.4,4.54,6.64,51,16.82,544,0,0
266,11/1/2016 15:40,1.3,4.51,6.66,52,16.53,353,0,0
267,11/1/2016 15:45,0.4,4.51,6.55,50.6,16.84,423,0,0
268,11/1/2016 15:50,0.6,4.51,6.46,57,14.89,414,0,0
269,11/1/2016 15:55,0,4.51,6.39,57.7,14.62,443,0,0
270,11/1/2016 16:00,0,4.51,6.67,55.3,15.58,416,0,0
271,11/1/2016 16:05,0.2,4.51,6.5,57.5,14.79,286,0,0
272,11/1/2016 16:10,0.6,4.51,6.69,52.9,16.3,537,0,0
273,11/1/2016 16:15,0,4.51,6.55,57.1,14.96,246,0,0
274,11/1/2016 16:20,0.6,4.53,6.4,59,14.29,321,0,0
275,11/1/2016 16:25,1.5,4.53,6.2,59.1,14.05,354,0,0
276,11/1/2016 16:30,0,4.48,6.49,53.4,15.94,396,0,0
277,11/1/2016 16:35,0,4.51,6.5,55.6,15.32,473,0,0
278,11/1/2016 16:40,0,4.53,6.62,53.2,16.13,407,0,0
279,11/1/2016 16:45,4.5,4.53,6.53,56.4,15.13,394,0,0.2
280,11/1/2016 16:50,1.1,4.53,6.54,56,15.25,376,0,0
281,11/1/2016 16:55,0.6,4.53,6.75,56.3,15.39,363,0,0
282,11/1/2016 17:00,2,4.53,6.7,58.2,14.82,373,0,0
283,11/1/2016 17:05,0.9,4.54,6.98,55.3,15.91,351,0,0
284,11/1/2016 17:10,3.5,4.54,6.73,55.1,15.7,573,0,0.6
285,11/1/2016 17:15,3.3,4.54,6.71,51.4,16.77,388,0,0.6
286,11/1/2016 17:20,0,4.54,7.03,52,16.94,336,0,0
287,11/1/2016 17:25,0.6,4.54,6.85,56.5,15.44,349,0,0
288,11/1/2016 17:30,0,4.46,6.86,53.3,16.37,298,0,0
289,11/1/2016 17:35,1.7,4.54,6.76,53.9,16.08,271,0,0.2
290,11/1/2016 17:40,0.9,4.54,6.68,53.1,16.22,277,0,0
291,11/1/2016 17:45,0.9,4.54,6.96,54.9,16.01,257,0,0
292,11/1/2016 17:50,3.3,4.54,6.99,53.1,16.56,248,0,0.2
293,11/1/2016 17:55,2.4,4.54,6.78,55.4,15.68,217,0,0.2
294,11/1/2016 18:00,0.2,4.54,7.06,54.7,16.18,207,0,0
295,11/1/2016 18:05,1.9,4.54,7.1,54.9,16.15,241,0,0
296,11/1/2016 18:10,0.6,4.54,7.26,57.4,15.63,226,0,0
297,11/1/2016 18:15,0,4.54,7,57,15.46,222,0,0
298,11/1/2016 18:20,2.2,4.54,6.97,56.1,15.68,239,0,0.2
299,11/1/2016 18:25,1.7,4.54,6.91,56.4,15.53,233,0,0.2
300,11/1/2016 18:30,0.6,4.45,7.09,53.9,16.44,222,0,0
301,11/1/2016 18:35,3,4.54,7.02,53.7,16.42,216,0,0.4
302,11/1/2016 18:40,0.4,4.54,7.03,53.6,16.46,203,0,0
303,11/1/2016 18:45,2,4.54,6.96,55.9,15.72,194,0,0.4
304,11/1/2016 18:50,0,4.54,7.2,54.2,16.46,207,0,0
305,11/1/2016 18:55,3.2,4.54,7.08,55.6,15.94,208,0,0.4
306,11/1/2016 19:00,1.9,4.54,7.24,56.3,15.91,187,0,0
307,11/1/2016 19:05,0.4,4.54,7.47,55.8,16.3,163,0,0
308,11/1/2016 19:10,1.9,4.54,7.43,57.1,15.89,157,0,0.2
309,11/1/2016 19:15,1.9,4.54,7.58,57.2,16.03,157,0,0
310,11/1/2016 19:20,1.9,4.54,7.68,56.8,16.25,164,0,0
311,11/1/2016 19:25,0,4.54,7.83,55.4,16.8,167,0,0
312,11/1/2016 19:30,3,4.44,7.58,57.8,15.87,133,0,0.4
313,11/1/2016 19:35,0.9,4.56,7.79,57.3,16.22,127,0,0
314,11/1/2016 19:40,0.4,4.54,7.78,59.6,15.6,118,0,0
315,11/1/2016 19:45,0.4,4.54,7.79,60.8,15.29,108,0,0
316,11/1/2016 19:50,0.6,4.54,7.92,62.4,15.03,72,0,0
317,11/1/2016 19:55,0,4.54,7.87,62.3,15.01,63,0,0
318,11/1/2016 20:00,0,4.54,7.88,62.8,14.89,61,0,0
319,11/1/2016 20:05,0,4.54,7.81,62.7,14.84,58,0,0
320,11/1/2016 20:10,0,4.54,7.84,61.8,15.1,57,0,0
321,11/1/2016 20:15,0,4.54,7.69,61.7,14.96,59,0,0
322,11/1/2016 20:20,0,4.54,7.73,61.6,15.03,54,0,0
323,11/1/2016 20:25,1.1,4.54,7.73,61.8,14.98,42,0,0
324,11/1/2016 20:30,0.2,4.44,7.69,61.7,14.96,39,0,0
325,11/1/2016 20:35,0.2,4.51,7.71,62,14.91,33,0,0
326,11/1/2016 20:40,0,4.54,7.71,62.2,14.86,22,0,0
327,11/1/2016 20:45,0,4.54,7.65,63,14.6,17,0,0
328,11/1/2016 20:50,0.6,4.51,7.77,63.6,14.58,14,0,0
329,11/1/2016 20:55,0,4.49,7.84,63.6,14.65,16,0,0
330,11/1/2016 21:00,0,4.48,7.79,63.9,14.53,16,0,0
331,11/1/2016 21:05,0,4.48,7.82,64.3,14.46,14,0,0
332,11/1/2016 21:10,0,4.46,7.68,63.9,14.41,13,0,0
333,11/1/2016 21:15,0,4.46,7.75,64.1,14.43,11,0,0
334,11/1/2016 21:20,1.5,4.45,7.65,63.6,14.46,7,0,0
335,11/1/2016 21:25,1.1,4.45,7.7,63.9,14.43,3,0,0
336,11/1/2016 21:30,0,4.4,7.7,64.4,14.31,1,0,0
337,11/1/2016 21:35,0,4.43,7.7,65.1,14.15,1,0,0
338,11/1/2016 21:40,0,4.42,7.77,64.9,14.27,1,0,0
339,11/1/2016 21:45,0,4.42,7.9,65.7,14.22,1,0,0
340,11/1/2016 21:50,0,4.42,7.97,65.2,14.41,1,0,0
341,11/1/2016 21:55,0,4.41,8.06,66.7,14.15,1,0,0
342,11/1/2016 22:00,0,4.4,7.85,66.3,14.03,1,0,0
343,11/1/2016 22:05,0,4.4,8.03,67,14.05,1,0,0
344,11/1/2016 22:10,0,4.4,8.06,66.8,14.12,1,0,0
345,11/1/2016 22:15,0,4.39,8.08,67.2,14.05,1,0,0
346,11/1/2016 22:20,0,4.39,8.14,67.4,14.07,1,0,0
347,11/1/2016 22:25,0,4.39,8.12,67.2,14.1,1,0,0
348,11/1/2016 22:30,0,4.35,8.15,66.4,14.31,1,0,0
349,11/1/2016 22:35,1.1,4.36,7.94,66.9,13.98,1,0,0
350,11/1/2016 22:40,3.7,4.36,7.92,67.2,13.88,1,0,0.2
351,11/1/2016 22:45,2,4.36,8.01,67.3,13.95,1,0,0.2
352,11/1/2016 22:50,2.4,4.36,7.97,68.3,13.69,1,0,0.4
353,11/1/2016 22:55,2.2,4.36,8.01,68.5,13.69,1,0,0.2
354,11/1/2016 23:00,3,4.36,8.01,68.8,13.62,1,0,0.6
355,11/1/2016 23:05,2.2,4.35,8.01,68.9,13.59,1,0,0.2
356,11/1/2016 23:10,2.2,4.35,8.18,69.6,13.62,1,0,0
357,11/1/2016 23:15,0,4.35,8.21,69.3,13.71,1,0,0
358,11/1/2016 23:20,0,4.35,8.13,68.5,13.81,1,0,0
359,11/1/2016 23:25,0.6,4.35,8.26,69,13.83,1,0,0
360,11/1/2016 23:30,1.3,4.3,8.27,69.4,13.76,1,0,0
361,11/1/2016 23:35,2.6,4.32,8.3,69.1,13.86,1,0,0
